dataset,subject,task,n_windows,stress_ratio,mean_quality,has_physio,has_audio,has_video
stressid,2ea4,breathing,1,0.0,1.0,True,False,True
stressid,2ea4,counting1,1,1.0,1.0,True,True,True
stressid,2ea4,counting2,1,1.0,1.0,True,True,True
stressid,2ea4,counting3,1,1.0,1.0,True,True,True
stressid,2ea4,math,1,1.0,1.0,True,True,True
stressid,2ea4,reading,1,0.0,1.0,True,True,True
stressid,2ea4,relax,1,0.0,1.0,True,False,True
stressid,2ea4,speaking,1,1.0,1.0,True,True,True
stressid,2ea4,stroop,1,0.0,1.0,True,True,True
stressid,2ea4,video1,1,0.0,1.0,True,False,True
stressid,2ea4,video2,1,0.0,1.0,True,False,True
stressid,2hpu,breathing,1,0.0,1.0,True,False,True
stressid,2hpu,counting1,1,1.0,1.0,True,True,True
stressid,2hpu,counting2,1,1.0,1.0,True,True,True
stressid,2hpu,counting3,1,1.0,1.0,True,True,True
stressid,2hpu,math,1,0.0,1.0,True,True,True
stressid,2hpu,reading,1,0.0,1.0,True,True,True
stressid,2hpu,relax,1,0.0,1.0,True,False,True
stressid,2hpu,speaking,1,1.0,1.0,True,True,True
stressid,2hpu,stroop,1,1.0,1.0,True,True,True
stressid,2hpu,video1,1,0.0,1.0,True,False,True
stressid,2hpu,video2,1,0.0,1.0,True,False,True
stressid,2z7d,breathing,1,1.0,1.0,True,False,True
stressid,2z7d,counting1,1,1.0,1.0,True,True,True
stressid,2z7d,counting2,1,1.0,1.0,True,True,True
stressid,2z7d,counting3,1,1.0,1.0,True,True,True
stressid,2z7d,math,1,1.0,1.0,True,True,True
stressid,2z7d,reading,1,1.0,1.0,True,True,True
stressid,2z7d,relax,1,0.0,1.0,True,False,True
stressid,2z7d,speaking,1,1.0,1.0,True,True,True
stressid,2z7d,stroop,1,1.0,1.0,True,True,True
stressid,2z7d,video1,1,0.0,1.0,True,False,True
stressid,2z7d,video2,1,1.0,1.0,True,False,True
