Model Name,Category,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,Classical,0.742310768559587,0.7079893010815211,0.5708391936240037,0.6320598006644518,0.7137211629923434
Voice Sequence Expert,Unimodal Expert,0.742310768559587,0.7087174699498191,0.5694327238631036,0.6314859103670584,0.6526005632281833
XGBoost,Classical,0.711590198502145,0.6493549092499453,0.556868260665729,0.5995658977335824,0.7077013733116719
SSVB-CASA-AIS,Production,0.6710899440122156,0.5893922651933702,0.5001406469760901,0.5411108293177783,0.6706056783874708
KNN,Classical,0.6445139242347124,0.5529173129698127,0.4345053914674168,0.4866113619657671,0.6489142333498219
VBC-CASA-IS,Production,0.6300079982549261,0.5255765199161425,0.4701359587435537,0.4963127938629052,0.6255749585078476
Face Sequence Expert,Unimodal Expert,0.6107758307278413,0.492166602980512,0.12076887013595874,0.1939466947748833,0.5124256897326538
Logistic Regression,Classical,0.5973242201701447,0.4814547423517733,0.5002344116268167,0.49066494987583925,0.5773385270520427
Early Concat Fusion,Early Fusion,0.5785646767977896,0.45302523563393127,0.4191279887482419,0.4354178842781999,0.5729551729973394
Gated Fusion,Early Fusion,0.5357376572384207,0.38964034811785675,0.34842944210032817,0.3678843678843679,0.5052904676159106
SVM,Classical,0.4945830000727114,0.24207171314741036,0.1424285044538209,0.1793388429752066,0.30077849825842784
