Scale,Model Name,Category,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Runtime-Seconds
10sec,RandomForest,classical,0.741241918508495,0.7074612164491505,0.5603666861712503,0.6253809316499782,0.7282317931869953,3.5123369693756104
10sec,VoiceSequenceExpert,unimodal_deep,0.7382348519019696,0.7052657848764662,0.5511995318899942,0.6187869498576746,0.6992745487850194,3.3046600818634033
10sec,XGBoost,classical,0.7081641858367163,0.6487455197132617,0.5295494441193681,0.583118556701031,0.7117113393207036,5.701042890548706
10sec,SSVB_CASA_AIS,production,0.7032777026011127,0.6512045105074321,0.49561146869514333,0.5628530291283642,0.6705491763041378,26.01149845123291
10sec,VBC_CASA_IS,production,0.6774169297849948,0.5993818354731336,0.49171055197971525,0.5402335797707061,0.6607108496184677,24.132713794708252
10sec,KNN,classical,0.6432867238009322,0.5528792912513842,0.38950653403549834,0.45703169699050233,0.6381754684827998,1.9705498218536377
10sec,FaceSequenceExpert,unimodal_deep,0.6145692377086153,0.5,0.002925687536571094,0.005817335660267597,0.5189238003040807,3.1351191997528076
10sec,GatedFusion,fusion,0.5730717185385656,0.4405684754521964,0.39906377998829723,0.4187902978200798,0.5431425403318404,7.673858642578125
10sec,LogisticRegression,classical,0.5688618252894302,0.4448075526506899,0.47786229763994537,0.460742830277386,0.5553386908308773,16.377821922302246
10sec,EarlyConcatFusion,fusion,0.5641256953841528,0.4189417733752114,0.3382094792276185,0.37427153032592275,0.5370661050300949,7.536691188812256
10sec,SVM,classical,0.5611186287776274,0.2864864864864865,0.0930368636629608,0.14045936395759717,0.3184512286992948,515.4144515991211
2sec,RandomForest,classical,0.7425842921175093,0.707970589562001,0.5758787700887943,0.6351293931974992,0.7264726595907383,21.86427664756775
2sec,VoiceSequenceExpert,unimodal_deep,0.739186912952865,0.703834808259587,0.5690540838042122,0.6293087707196332,0.6863855224200991,17.697386741638184
2sec,XGBoost,classical,0.7191880549290547,0.6847285839586785,0.5155940412416526,0.5882451440053583,0.7171116697951907,12.200585126876831
2sec,VBC_CASA_IS,production,0.6478573671738944,0.5465179053446104,0.5571659205988112,0.5517905485201403,0.6687655070266629,135.30460596084595
2sec,KNN,classical,0.6311274159933765,0.5332329836775013,0.4159389447420562,0.46733865149547543,0.631366243332883,40.8150908946991
2sec,FaceSequenceExpert,unimodal_deep,0.6091015502326776,0.48913406887328653,0.10736038746606003,0.17607413647851727,0.5496467156668763,19.99497079849243
2sec,GatedFusion,fusion,0.6055328746395637,0.4884484435797665,0.29478241725985177,0.36767196009335956,0.5309616439737217,42.556631565093994
2sec,LogisticRegression,classical,0.5948696719673395,0.4796827113755183,0.488148528656344,0.4838785939005983,0.5841980899314103,135.14018034934998
2sec,SSVB_CASA_AIS,production,0.58667599280555,0.4721558356523163,0.5291700300873267,0.4990397757746674,0.6260910445110003,140.1852834224701
2sec,EarlyConcatFusion,fusion,0.5109201473149285,0.3846305807981035,0.4286343289058487,0.4054419879915316,0.4874484710809834,43.692951917648315
2sec,SVM,classical,0.40592971136551803,0.227177753295597,0.21941733323548837,0.2232301174011236,0.2893981561653644,3646.2568879127502
5sec,RandomForest,classical,0.7412564531374973,0.7070011668611436,0.5681200187529302,0.6299974005718741,0.724590332241491,7.274767875671387
5sec,VoiceSequenceExpert,unimodal_deep,0.7403112048280375,0.705820476858345,0.5662447257383966,0.6283752146090213,0.694705042081209,7.069750785827637
5sec,XGBoost,classical,0.7187886279357231,0.6646807553956835,0.5544303797468354,0.6045703184908747,0.7239010999794471,7.392277717590332
5sec,VBC_CASA_IS,production,0.6824692794299425,0.6140040146416342,0.4875761837787154,0.5435350684645134,0.6727559126752174,54.11474847793579
5sec,KNN,classical,0.6523667563440704,0.5679438216089688,0.43225503984997654,0.4908955382813332,0.6610331961438627,7.671215534210205
5sec,SSVB_CASA_AIS,production,0.6397149712789937,0.5348858700674615,0.542709798406001,0.538769431257563,0.6392886886987706,55.2644362449646
5sec,FaceSequenceExpert,unimodal_deep,0.6104849850941613,0.4776255707762557,0.04903891233005157,0.08894557823129251,0.5501848637930788,7.326307535171509
5sec,GatedFusion,fusion,0.5939794953828256,0.464452296819788,0.30811064228785745,0.3704622322435175,0.5602699949804928,17.073307037353516
5sec,LogisticRegression,classical,0.580782374754599,0.46159985810571125,0.4880450070323488,0.47445421813044075,0.5706032954369029,49.12936282157898
5sec,EarlyConcatFusion,fusion,0.5702755762379117,0.43867473717744504,0.38734177215189874,0.41141320585599045,0.5410537869524715,15.279261589050293
5sec,SVM,classical,0.5392641605467898,0.24097007223942207,0.08757618377871543,0.1284643422048002,0.2764581827112315,1162.0130641460419
