Model Name,Category,Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost,Classical,0.9517196248091325,0.9604497484959069,0.9130801687763713,0.9361661218996347,0.9917847389442855
KNN,Classical,0.9334690612957173,0.929175167589624,0.8967651195499297,0.9126825078728886,0.9784479547867422
Random Forest,Classical,0.8952955718752272,0.8917178222803663,0.8308485700890764,0.860207746820697,0.9666360975309376
Logistic Regression,Classical,0.8468334181633098,0.8160885753478346,0.7809657759024847,0.7981409611422549,0.9106386299170035
VBC-CASA-IS,Production,0.7859012579073656,0.7068607068607069,0.7651195499296765,0.7348372281507497,0.8784308565596546
SSVB-CASA-AIS,Production,0.780738747909547,0.7706775700934579,0.6185654008438819,0.68629388816645,0.8678385661229671
Voice Sequence Expert,Unimodal Expert,0.742274412855377,0.7076655052264809,0.5713080168776371,0.6322178988326849,0.7179875910076242
Gated Fusion,Early Fusion,0.7007925543517778,0.620223165794411,0.5889357712142522,0.6041746825702193,0.7694374257363616
Early Concat Fusion,Early Fusion,0.6750527157711045,0.5850990440524293,0.5566807313642756,0.5705362290985969,0.7192549588129543
Face Sequence Expert,Unimodal Expert,0.6245182869192176,0.5732290308561495,0.1236755743084857,0.20345519049822613,0.5807452054324703
SVM,Classical,0.599832763760634,0.31769722814498935,0.02794186591654946,0.05136602602775144,0.2897993263320798
