Scale,Model Name,Category,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Runtime-Seconds
10sec,RandomForest,classical,0.7413922718388213,0.7077074612164491,0.5605617320070216,0.6255986068785372,0.7281428236553021,4.818311452865601
10sec,XGBoost,classical,0.7059840625469854,0.6448308718437351,0.5279890774331968,0.5805898123324397,0.7104587394551481,7.8900980949401855
10sec,CNN-LSTM,temporal_deep,0.684934596301308,0.6040925266903915,0.5297444899551395,0.5644809311025668,0.6853281869863271,11.746126174926758
10sec,TCN,temporal_deep,0.6711772665764547,0.5844359721910742,0.5082894480202848,0.5437095764656791,0.6840661390289102,11.511653900146484
10sec,GRU,temporal_deep,0.6580213501729063,0.5654438405797102,0.4870294519212015,0.5233155192287541,0.6501890155195645,10.890372276306152
10sec,Transformer,temporal_deep,0.6569688768606224,0.5590699622957688,0.5205773356738833,0.5391374608625391,0.6702794523685544,15.319167852401733
10sec,KNN,classical,0.6475717937152308,0.5571763480072935,0.41720304271503805,0.4771358465313406,0.6444134637694903,4.233957052230835
10sec,LSTM,temporal_deep,0.6459179070816419,0.5489781536293165,0.45582211819777646,0.49808184143222506,0.6521226772695253,11.599442958831787
10sec,SVM,classical,0.577807848443843,0.27340129749768305,0.05753852155256485,0.09506928778601353,0.3454728191400208,454.20191836357117
10sec,LogisticRegression,classical,0.5723199518869343,0.44530945893343715,0.4462648722449776,0.44578665367754505,0.5469924826829717,15.322090148925781
2sec,RandomForest,classical,0.742541468010392,0.7079123060267052,0.5758053863653042,0.6350613087289062,0.7265444950548285,22.75325584411621
2sec,XGBoost,classical,0.7212436120706883,0.6847088074973702,0.52542746018933,0.5945856170071416,0.7204543596961501,21.466315984725952
2sec,TCN,temporal_deep,0.705470065949125,0.6670366819718452,0.48506641226975855,0.5616807936609096,0.7113898259982758,52.77690815925598
2sec,LSTM,temporal_deep,0.6863847888771519,0.6177676740661496,0.508512511924855,0.5578409273868942,0.6861534386789833,51.03944778442383
2sec,CNN-LSTM,temporal_deep,0.6827590144745482,0.6130032350826743,0.500587069787921,0.5511209856594628,0.683925701723283,56.29528784751892
2sec,Transformer,temporal_deep,0.6755788391812031,0.6055687701133343,0.47640713289792325,0.5332785706951433,0.676914515763441,80.53339457511902
2sec,GRU,temporal_deep,0.6743369400747995,0.5986491290437256,0.4943127614295149,0.541500864182644,0.6853682229788441,52.463951110839844
2sec,KNN,classical,0.6295286493276615,0.5293639687626958,0.4302854626843766,0.4747100613273423,0.6284085020701754,51.23990869522095
2sec,LogisticRegression,classical,0.6055614240443087,0.49271058315334776,0.4687385337932047,0.48042570794629763,0.5835546929919916,131.72884440422058
2sec,SVM,classical,0.37415422388443204,0.21984665788495963,0.23882732809862772,0.2289442675999367,0.33311539281895686,3416.179259777069
5sec,RandomForest,classical,0.7408201846869774,0.7069288389513109,0.5663384903891233,0.6288718829715237,0.7246934226917525,9.951354742050171
5sec,XGBoost,classical,0.7135897622336944,0.6618654896039029,0.5342709798406001,0.5912628411331328,0.7149211344971542,11.972447395324707
5sec,CNN-LSTM,temporal_deep,0.6803606485857631,0.6066750199339332,0.4993905297702766,0.5478296646780498,0.6718801811254003,22.25854778289795
5sec,TCN,temporal_deep,0.6785428633752636,0.6011990673920284,0.5077355836849508,0.5505286701911346,0.6751863218192002,21.40750479698181
5sec,Transformer,temporal_deep,0.6709808768995855,0.5969737000120091,0.4661040787623066,0.5234835720303286,0.6733208027993434,30.86080527305603
5sec,LSTM,temporal_deep,0.6605104340871083,0.5732259132546077,0.4870135958743554,0.5266146202980837,0.6572120235556891,20.995209217071533
5sec,KNN,classical,0.6480040718388715,0.5589399208538194,0.43703703703703706,0.49052830982950957,0.6532214833126788,10.835294961929321
5sec,GRU,temporal_deep,0.638297098814804,0.5363304241932211,0.4955461790904829,0.5151323163896876,0.64478340802742,19.190982818603516
5sec,LogisticRegression,classical,0.5877626699629172,0.46784351145038167,0.45972808251289266,0.46375029557815084,0.5653807168577856,42.83185815811157
5sec,SVM,classical,0.5572238784265251,0.2112890922959573,0.05194561650257853,0.08338977948370588,0.31249392674704163,1004.2046551704407
