Scale,Experiment Mode,Model Name,Category,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Runtime-Seconds
10sec,gan_augmented,RandomForest,classical,0.7437979251240415,0.7077592458303118,0.5710942071386775,0.6321243523316062,0.7175384976937469,40.68403935432434
10sec,gan_augmented,XGBoost,classical,0.7038039392572546,0.6372889197316678,0.5373512775502243,0.5830687830687831,0.7097245320540236,31.000767946243286
10sec,gan_augmented,Transformer,temporal_deep,0.6835062396632086,0.6075029308323564,0.5053637604837137,0.5517461669505963,0.6759893923695921,37.191847801208496
10sec,gan_augmented,CNN-LSTM,temporal_deep,0.6758382198165689,0.5954109107937251,0.4960015603666862,0.5411789742498404,0.6812505837954488,26.870497465133667
10sec,gan_augmented,TCN,temporal_deep,0.6744098631784694,0.5901676483914816,0.5080944021845134,0.5460643538413165,0.675042483607501,31.744990348815918
10sec,gan_augmented,LSTM,temporal_deep,0.6532852202676289,0.5576966166255881,0.48546908523503024,0.5190823774765381,0.6674884120704145,30.704324960708618
10sec,gan_augmented,GRU,temporal_deep,0.6460682604119681,0.5464626302949657,0.4805929393407451,0.5114155251141552,0.6587093691788213,26.889894485473633
10sec,gan_augmented,KNN,classical,0.6244925575101489,0.5134693877551021,0.4907353228008582,0.5018450184501845,0.6241403995994104,27.58029818534851
10sec,gan_augmented,LogisticRegression,classical,0.5485641256953842,0.4208152958152958,0.45504193485469085,0.4372598631805829,0.49941759432732746,55.85507798194885
10sec,gan_augmented,SVM,classical,0.38685911892948427,0.38562042141832187,0.9959040374488005,0.5559668989547039,0.4164313888993271,64.80126309394836
10sec,real_only,RandomForest,classical,0.7413170951736581,0.7071253071253071,0.5613419153501072,0.6258562574752636,0.7295555519767329,5.30695652961731
10sec,real_only,XGBoost,classical,0.7059840625469854,0.6448308718437351,0.5279890774331968,0.5805898123324397,0.7104587394551481,7.208479642868042
10sec,real_only,CNN-LSTM,temporal_deep,0.6911742595098481,0.6213962354062426,0.5086795396918276,0.5594165594165594,0.7004688854174308,11.517820596694946
10sec,real_only,GRU,temporal_deep,0.6892948428807698,0.6134703196347032,0.5240881607177686,0.5652676974860629,0.6844892155161051,12.06708025932312
10sec,real_only,TCN,temporal_deep,0.675311983160427,0.5937354988399072,0.49912229373902867,0.542333368655293,0.686844593800644,12.019372701644897
10sec,real_only,Transformer,temporal_deep,0.6662156066756879,0.5864585955197583,0.45445679734737665,0.512087912087912,0.6684105434501879,19.387918710708618
10sec,real_only,LSTM,temporal_deep,0.6582468801683957,0.5621390374331551,0.5125804564072557,0.536217098551316,0.6690419789935038,11.511204719543457
10sec,real_only,KNN,classical,0.6475717937152308,0.5571763480072935,0.41720304271503805,0.4771358465313406,0.6444134637694903,4.455302000045776
