--- StressID Face Extraction ---
Subject: 2ea4, Task: Breathing, Frames: 900, Windows: 59
Subject: 2ea4, Task: Counting1, Frames: 300, Windows: 19
Subject: 2ea4, Task: Counting2, Frames: 300, Windows: 19
Subject: 2ea4, Task: Counting3, Frames: 300, Windows: 19
Subject: 2ea4, Task: Math, Frames: 300, Windows: 19
Subject: 2ea4, Task: Reading, Frames: 300, Windows: 19
Subject: 2ea4, Task: Relax, Frames: 750, Windows: 49
Subject: 2ea4, Task: Speaking, Frames: 300, Windows: 19
Subject: 2ea4, Task: Stroop, Frames: 300, Windows: 19
Subject: 2ea4, Task: Video1, Frames: 870, Windows: 57
Subject: 2ea4, Task: Video2, Frames: 590, Windows: 38
Subject: 2hpu, Task: Breathing, Frames: 563, Windows: 36
Subject: 2hpu, Task: Counting1, Frames: 188, Windows: 11
Subject: 2hpu, Task: Counting2, Frames: 188, Windows: 11
Subject: 2hpu, Task: Counting3, Frames: 188, Windows: 11
Subject: 2hpu, Task: Math, Frames: 188, Windows: 11
Subject: 2hpu, Task: Reading, Frames: 188, Windows: 11
Subject: 2hpu, Task: Relax, Frames: 469, Windows: 30
Subject: 2hpu, Task: Speaking, Frames: 188, Windows: 11
Subject: 2hpu, Task: Stroop, Frames: 188, Windows: 11
Subject: 2hpu, Task: Video1, Frames: 544, Windows: 35
Subject: 2hpu, Task: Video2, Frames: 369, Windows: 23
Subject: 2z7d, Task: Breathing, Frames: 900, Windows: 59
Subject: 2z7d, Task: Counting1, Frames: 300, Windows: 19
Subject: 2z7d, Task: Counting2, Frames: 300, Windows: 19
Subject: 2z7d, Task: Counting3, Frames: 300, Windows: 19
Subject: 2z7d, Task: Math, Frames: 300, Windows: 19
Subject: 2z7d, Task: Reading, Frames: 300, Windows: 19
Subject: 2z7d, Task: Relax, Frames: 750, Windows: 49
Subject: 2z7d, Task: Speaking, Frames: 300, Windows: 19
Subject: 2z7d, Task: Stroop, Frames: 300, Windows: 19
Subject: 2z7d, Task: Video1, Frames: 870, Windows: 57
Subject: 2z7d, Task: Video2, Frames: 590, Windows: 38
Subject: 45lx, Task: Breathing, Frames: 900, Windows: 59
Subject: 45lx, Task: Counting1, Frames: 300, Windows: 19
Subject: 45lx, Task: Counting2, Frames: 300, Windows: 19
Subject: 45lx, Task: Counting3, Frames: 300, Windows: 19
Subject: 45lx, Task: Math, Frames: 300, Windows: 19
Subject: 45lx, Task: Reading, Frames: 300, Windows: 19
Subject: 45lx, Task: Relax, Frames: 750, Windows: 49
Subject: 45lx, Task: Speaking, Frames: 300, Windows: 19
Subject: 45lx, Task: Stroop, Frames: 300, Windows: 19
Subject: 45lx, Task: Video1, Frames: 870, Windows: 57
Subject: 45lx, Task: Video2, Frames: 590, Windows: 38
Subject: 4e8r, Task: Breathing, Frames: 900, Windows: 59
Subject: 4e8r, Task: Counting1, Frames: 300, Windows: 19
Subject: 4e8r, Task: Counting2, Frames: 300, Windows: 19
Subject: 4e8r, Task: Counting3, Frames: 300, Windows: 19
Subject: 4e8r, Task: Math, Frames: 300, Windows: 19
Subject: 4e8r, Task: Reading, Frames: 300, Windows: 19
Subject: 4e8r, Task: Relax, Frames: 750, Windows: 49
Subject: 4e8r, Task: Speaking, Frames: 300, Windows: 19
Subject: 4e8r, Task: Stroop, Frames: 300, Windows: 19
Subject: 4e8r, Task: Video1, Frames: 870, Windows: 57
Subject: 4e8r, Task: Video2, Frames: 590, Windows: 38
Subject: 4woj, Task: Breathing, Frames: 563, Windows: 36
Subject: 4woj, Task: Counting1, Frames: 188, Windows: 11
Subject: 4woj, Task: Counting2, Frames: 188, Windows: 11
