--- WESAD Physio Extraction ---
Subject: S10, Frames: 16488, Windows: 381
Subject: S11, Frames: 15699, Windows: 372
Subject: S13, Frames: 16611, Windows: 369
Subject: S14, Frames: 16644, Windows: 371
Subject: S15, Frames: 15756, Windows: 373
Subject: S16, Frames: 16893, Windows: 371
Subject: S17, Frames: 17760, Windows: 381
Subject: S2, Frames: 18237, Windows: 352
Subject: S3, Frames: 19479, Windows: 356
Subject: S4, Frames: 19269, Windows: 358
Subject: S5, Frames: 18774, Windows: 369
Subject: S6, Frames: 21213, Windows: 366
Subject: S7, Frames: 15714, Windows: 365
Subject: S8, Frames: 16398, Windows: 368
Subject: S9, Frames: 15669, Windows: 365
